text,label,pred_correct_at_words
didnt feel humili,sadness,3.0
go feel hopeless damn hope around someon care awak,sadness,3.0
im grab minut post feel greedi wrong,anger,1.0
ever feel nostalg fireplac know still properti,love,3.0
feel grouchi,anger,2.0
ive feel littl burden late wasnt sure,sadness,1.0
ive take milligram time recommend amount ive fallen asleep lot faster also feel like funni,surprise,15.0
feel confus life teenag jade year old man,fear,4.0
petrona year feel petrona perform well made huge profit,joy,2.0
feel romant,love,2.0
feel like make suffer see mean someth,sadness,4.0
feel run divin experi expect type spiritu encount,joy,1.0
think easiest time year feel dissatisfi,anger,4.0
feel low energi thirsti,sadness,2.0
immens sympathi gener point possibl proto writer tri find time write corner life sign agent let alon publish contract feel littl preciou,joy,5.0
feel reassur anxieti side,joy,1.0
didnt realli feel embarrass,sadness,4.0
feel pretti pathet time,sadness,3.0
start feel sentiment doll child began collect vintag barbi doll sixti,sadness,3.0
feel compromis skeptic valu everi unit work put,fear,3.0
feel irrit reject without anyon anyth say anyth,anger,2.0
feel complet overwhelm two strategi help feel ground pour heart journal form letter god end list five thing grate,fear,3.0
feel amus delight,joy,1.0
abl help chai lifelin support encourag great feel glad abl help,joy,1.0
alreadi feel like fuck though dont usual eat morn,anger,4.0
still love wish best longer toler effect bm live fact turn bitter angri person alway particularli kind peopl around feel stress,sadness,13.0
feel inhibit someon els kitchen like im paint someon els pictur,sadness,2.0
becom overwhelm feel defeat,sadness,4.0
feel kinda appal feel like need explain wide lenghth bodi measur etc pp,anger,3.0
feel superior dead chicken griev child,joy,1.0
get giddi feel eleg perfectli fit pencil skirt,joy,1.0
rememb feel acut distress day,fear,4.0
seen heard read past coupl day left feel impress compani,surprise,9.0
climb hill feel frustrat id pretti much pace entir wrong cours factor never ever hamper made dent day,anger,2.0
imagin real life scenario would emot connect enough someon feel total accept safe moral accept close prolong physic contact sex expect subsequ,joy,13.0
sure would make feel content anyth,joy,1.0
feel need creativ,joy,1.0
howev want know someth someon caus feel less splendid self step away,joy,1.0
feel bit rude write elderli gentleman ask gift feel bit greedi christma mild greed,anger,3.0
need need someon need protect feel safe small find season word,joy,7.0
plan share everyday life stori travel adventur inspir handmad creation hope also feel inspir,joy,1.0
alreadi christma tree got two feel festiv sure spur get start book,joy,1.0
ive worn littl conceal day im feel brave dont want pale perfect,joy,8.0
feel strongli passion jerk decid poke make fun us,joy,1.0
feel discourag alreadi rob peter pay paul get cow year cant afford get cow way,sadness,2.0
feel listless need new thing someth differ,sadness,2.0
lost special mind worri still sane want feel felt read book know mani time said sam special guarante mani time use paragraph tell special,joy,2.0
let go sad feel want accept first home mine,love,
boat trip denmark,joy,1.0
stop feel cold began feel hot,anger,1.0
need feel dough make sure perfect,joy,2.0
found feel littl discourag morn,sadness,4.0
feel selfish spoil,anger,2.0
stymi littl bit wrote feel unsur might go somewher stori unintend,fear,6.0
